customer_id,click_rate
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,1
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,1
18,1
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,0
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,0
63,1
64,1
65,0
66,1
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,1
78,0
79,0
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,1
92,1
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,0
104,1
105,1
106,0
107,0
108,1
109,0
110,0
111,0
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,0
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,1
151,0
152,1
153,0
154,1
155,1
156,0
157,1
158,0
159,1
160,0
161,0
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,0
177,0
178,0
179,1
180,1
181,1
182,0
183,0
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,1
197,0
198,1
199,0
200,1
201,0
202,1
203,1
204,1
205,1
206,0
207,0
208,1
209,1
210,0
211,1
212,0
213,0
214,1
215,1
216,1
217,1
218,1
219,0
220,1
221,0
222,0
223,0
224,0
225,1
226,1
227,0
228,0
229,0
230,1
231,1
232,0
233,0
234,0
235,0
236,1
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,1
247,1
248,1
249,0
250,0
251,0
252,1
253,1
254,0
255,1
256,0
257,0
258,1
259,0
260,1
261,1
262,1
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,0
271,1
272,0
273,1
274,0
275,0
276,1
277,1
278,0
279,1
