customer_id,click_rate
1,1
2,1
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,1
22,0
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,0
57,1
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,0
75,1
76,0
77,1
78,1
79,1
80,1
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,0
100,0
101,1
102,1
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,0
112,1
113,0
114,0
115,1
116,0
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,0
171,0
172,1
173,1
174,1
175,0
176,1
177,1
178,0
179,0
180,0
181,1
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,1
204,0
205,1
206,0
207,0
208,1
209,1
210,1
211,1
212,0
213,0
214,0
215,0
216,1
217,0
218,0
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,1
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,1
243,0
244,1
245,0
246,1
247,0
248,0
249,1
250,1
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,0
268,0
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,0
303,1
304,0
305,0
306,1
307,1
308,0
309,0
310,0
311,1
312,1
313,1
314,0
315,0
316,0
317,1
318,1
319,1
320,0
321,1
322,0
323,1
324,1
325,0
326,1
327,0
328,1
329,1
330,1
331,1
332,0
333,1
334,0
335,1
336,1
337,1
338,0
339,1
340,1
341,1
342,0
343,1
344,1
345,0
346,0
347,0
348,0
349,1
350,1
351,0
352,0
353,0
354,0
355,1
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,0
366,1
367,0
368,0
369,0
370,1
371,0
372,1
373,1
374,1
375,0
376,1
377,1
378,0
379,1
380,0
381,1
382,1
383,1
384,0
385,1
386,0
387,0
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,1
404,1
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,0
413,0
414,0
415,1
416,0
417,1
418,0
419,0
420,0
421,1
422,1
423,0
424,1
425,0
426,1
427,1
428,1
429,0
430,0
431,0
432,0
433,1
434,1
435,1
436,0
437,1
438,0
439,0
440,1
441,0
442,1
443,1
444,1
445,0
446,1
447,0
448,0
449,1
450,1
451,1
452,0
453,0
454,1
455,0
456,1
457,0
458,1
459,1
460,0
461,0
462,1
463,0
464,0
465,0
466,1
467,1
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,0
476,0
477,1
478,1
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,0
487,1
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,1
507,1
508,1
509,0
510,1
511,0
512,1
513,1
514,0
515,1
516,0
517,1
518,0
519,1
520,1
521,1
522,0
523,0
524,0
525,0
526,0
527,0
528,1
529,1
530,0
531,1
532,0
533,0
534,0
535,1
536,1
537,0
538,0
539,0
540,1
541,0
542,0
543,1
544,1
545,0
546,0
547,0
548,1
549,1
550,0
551,0
552,0
553,0
554,1
555,0
556,1
557,0
558,0
559,0
560,0
561,0
562,1
563,1
564,1
565,1
566,0
567,1
568,0
569,0
570,1
571,1
572,0
573,1
574,0
575,1
576,0
577,0
578,0
579,1
580,0
581,0
582,0
583,1
584,1
585,1
586,1
587,0
588,1
589,0
590,1
591,1
592,0
593,0
594,0
595,1
596,0
597,1
598,1
599,1
600,1
